Date,Close
10/7/2014,51.914001
10/8/2014,51.855999
10/9/2014,51.402
10/10/2014,47.382
10/13/2014,44.917999
10/14/2014,45.411999
10/15/2014,45.939999
10/16/2014,45.27
10/17/2014,45.495998
10/20/2014,46.094002
10/21/2014,47.068001
10/22/2014,46.220001
10/23/2014,47.057999
10/24/2014,47.048
10/27/2014,44.334
10/28/2014,48.554001
10/29/2014,47.619999
10/30/2014,47.731998
10/31/2014,48.34
11/3/2014,48.518002
11/4/2014,47.785999
11/5/2014,46.194
11/6/2014,48.243999
11/7/2014,48.040001
11/10/2014,48.386002
11/11/2014,50.216
11/12/2014,49.82
11/13/2014,50.34
11/14/2014,51.736
11/17/2014,50.796001
11/18/2014,51.540001
11/19/2014,49.548
11/20/2014,49.742001
11/21/2014,48.556
11/24/2014,49.344002
11/25/2014,49.618
11/26/2014,49.688
11/28/2014,48.903999
12/1/2014,46.327999
12/2/2014,46.285999
12/3/2014,45.860001
12/4/2014,45.655998
12/5/2014,44.742001
12/8/2014,42.872002
12/9/2014,43.377998
12/10/2014,41.967999
12/11/2014,41.776001
12/12/2014,41.400002
12/15/2014,40.807999
12/16/2014,39.562
12/17/2014,41.164001
12/18/2014,43.652
12/19/2014,43.858002
12/22/2014,44.52
12/23/2014,44.194
12/24/2014,44.452
12/26/2014,45.563999
12/29/2014,45.141998
12/30/2014,44.445999
12/31/2014,44.481998
1/2/2015,43.862
1/5/2015,42.018002
1/6/2015,42.256001
1/7/2015,42.189999
1/8/2015,42.124001
1/9/2015,41.332001
1/12/2015,40.442001
1/13/2015,40.849998
1/14/2015,38.537998
1/15/2015,38.374001
1/16/2015,38.613998
1/20/2015,38.386002
1/21/2015,39.313999
1/22/2015,40.324001
1/23/2015,40.257999
1/26/2015,41.310001
1/27/2015,41.195999
1/28/2015,39.874001
1/29/2015,41.040001
1/30/2015,40.720001
2/2/2015,42.188
2/3/2015,43.672001
2/4/2015,43.709999
2/5/2015,44.198002
2/6/2015,43.472
2/9/2015,43.495998
2/10/2015,43.257999
2/11/2015,42.560001
2/12/2015,40.576
2/13/2015,40.754002
2/17/2015,40.869999
2/18/2015,40.891998
2/19/2015,42.341999
2/20/2015,43.422001
2/23/2015,41.467999
2/24/2015,40.821999
2/25/2015,40.751999
2/26/2015,41.438
2/27/2015,40.667999
3/2/2015,39.466
3/3/2015,39.911999
3/4/2015,40.487999
3/5/2015,40.125999
3/6/2015,38.776001
3/9/2015,38.175999
3/10/2015,38.063999
3/11/2015,38.748001
3/12/2015,38.214001
3/13/2015,37.736
3/16/2015,39.139999
3/17/2015,38.945999
3/18/2015,40.141998
3/19/2015,39.130001
3/20/2015,39.616001
3/23/2015,39.925999
3/24/2015,40.344002
3/25/2015,38.860001
3/26/2015,38.082001
3/27/2015,37
3/30/2015,38.113998
3/31/2015,37.754002
4/1/2015,37.518002
4/2/2015,38.200001
4/6/2015,40.619999
4/7/2015,40.650002
4/8/2015,41.534
4/9/2015,42.018002
4/10/2015,42.18
4/13/2015,41.956001
4/14/2015,41.492001
4/15/2015,41.566002
4/16/2015,41.34
4/17/2015,41.358002
4/20/2015,41.054001
4/21/2015,41.882
4/22/2015,43.888
4/23/2015,43.720001
4/24/2015,43.686001
4/27/2015,46.310001
4/28/2015,46.096001
4/29/2015,46.490002
4/30/2015,45.209999
5/1/2015,45.206001
5/4/2015,46.102001
5/5/2015,46.59
5/6/2015,46.085999
5/7/2015,47.360001
5/8/2015,47.321999
5/11/2015,47.897999
5/12/2015,48.948002
5/13/2015,48.636002
5/14/2015,48.82
5/15/2015,49.768002
5/18/2015,49.75
5/19/2015,49.428001
5/20/2015,48.869999
5/21/2015,49.124001
5/22/2015,49.546001
5/26/2015,49.492001
5/27/2015,49.486
5/28/2015,50.290001
5/29/2015,50.16
6/1/2015,49.889999
6/2/2015,49.669998
6/3/2015,49.798
6/4/2015,49.183998
6/5/2015,49.827999
6/8/2015,51.257999
6/9/2015,51.200001
6/10/2015,50.139999
6/11/2015,50.282001
6/12/2015,50.138
6/15/2015,50.076
6/16/2015,50.624001
6/17/2015,52.082001
6/18/2015,52.377998
6/19/2015,52.501999
6/22/2015,51.958
6/23/2015,53.534
6/24/2015,53.034
6/25/2015,53.757999
6/26/2015,53.417999
6/29/2015,52.403999
6/30/2015,53.652
7/1/2015,53.830002
7/2/2015,56.004002
7/6/2015,55.944
7/7/2015,53.576
7/8/2015,50.992001
7/9/2015,51.584
7/10/2015,51.830002
7/13/2015,52.431999
7/14/2015,53.130001
7/15/2015,52.627998
7/16/2015,53.335999
7/17/2015,54.931999
7/20/2015,56.452
7/21/2015,53.354
7/22/2015,53.574001
7/23/2015,53.439999
7/24/2015,53.082001
7/27/2015,50.602001
7/28/2015,52.964001
7/29/2015,52.764
7/30/2015,53.358002
7/31/2015,53.23
8/3/2015,51.998001
8/4/2015,53.256001
8/5/2015,54.026001
8/6/2015,49.226002
8/7/2015,48.501999
8/10/2015,48.228001
8/11/2015,47.473999
8/12/2015,47.633999
8/13/2015,48.501999
8/14/2015,48.630001
8/17/2015,50.998001
8/18/2015,52.144001
8/19/2015,51.049999
8/20/2015,48.436001
8/21/2015,46.153999
8/24/2015,43.773998
8/25/2015,44.006001
8/26/2015,44.967999
8/27/2015,48.598
8/28/2015,49.695999
8/31/2015,49.812
9/1/2015,47.726002
9/2/2015,49.537998
9/3/2015,49.113998
9/4/2015,48.386002
9/8/2015,49.633999
9/9/2015,49.782001
9/10/2015,49.695999
9/11/2015,50.048
9/14/2015,50.638
9/15/2015,50.714001
9/16/2015,52.450001
9/17/2015,52.414001
9/18/2015,52.124001
9/21/2015,52.84
9/22/2015,52.188
9/23/2015,52.212002
9/24/2015,52.624001
9/25/2015,51.382
9/28/2015,49.686001
9/29/2015,49.330002
9/30/2015,49.68
10/1/2015,47.976002
10/2/2015,49.514
10/5/2015,49.23
10/6/2015,48.292
10/7/2015,46.391998
10/8/2015,45.344002
10/9/2015,44.138
10/12/2015,43.116001
10/13/2015,43.849998
10/14/2015,43.375999
10/15/2015,44.262001
10/16/2015,45.402
10/19/2015,45.619999
10/20/2015,42.605999
10/21/2015,42.018002
10/22/2015,42.344002
10/23/2015,41.818001
10/26/2015,43.051998
10/27/2015,42.07
10/28/2015,42.591999
10/29/2015,42.326
10/30/2015,41.386002
11/2/2015,42.757999
11/3/2015,41.669998
11/4/2015,46.326
11/5/2015,46.354
11/6/2015,46.472
11/9/2015,45.066002
11/10/2015,43.299999
11/11/2015,43.816002
11/12/2015,42.588001
11/13/2015,41.438
11/16/2015,42.862
11/17/2015,42.799999
11/18/2015,44.214001
11/19/2015,44.360001
11/20/2015,44.001999
11/23/2015,43.549999
11/24/2015,43.650002
11/25/2015,45.928001
11/27/2015,46.321999
11/30/2015,46.051998
12/1/2015,47.438
12/2/2015,46.397999
12/3/2015,46.542
12/4/2015,46.076
12/7/2015,46.226002
12/8/2015,45.344002
12/9/2015,44.903999
12/10/2015,45.414001
12/11/2015,43.403999
12/14/2015,43.716
12/15/2015,44.217999
12/16/2015,46.902
12/17/2015,46.678001
12/18/2015,46.091999
12/21/2015,46.512001
12/22/2015,45.990002
12/23/2015,45.939999
12/24/2015,46.113998
12/28/2015,45.790001
12/29/2015,47.438
12/30/2015,47.618
12/31/2015,48.001999
1/4/2016,44.681999
1/5/2016,44.686001
1/6/2016,43.807999
1/7/2016,43.130001
1/8/2016,42.200001
1/11/2016,41.57
1/12/2016,41.993999
1/13/2016,40.062
1/14/2016,41.236
1/15/2016,40.998001
1/19/2016,40.944
1/20/2016,39.740002
1/21/2016,39.993999
1/22/2016,40.509998
1/25/2016,39.276001
1/26/2016,38.712002
1/27/2016,37.613998
1/28/2016,37.939999
1/29/2016,38.240002
2/1/2016,39.388
2/2/2016,36.556
2/3/2016,34.695999
2/4/2016,35.066002
2/5/2016,32.52
2/8/2016,29.598
2/9/2016,29.65
2/10/2016,28.733999
2/11/2016,30.094
2/12/2016,30.208
2/16/2016,31.034
2/17/2016,33.736
2/18/2016,33.354
2/19/2016,33.316002
2/22/2016,35.548
2/23/2016,35.442001
2/24/2016,35.799999
2/25/2016,37.486
2/26/2016,38.068001
2/29/2016,38.386002
3/1/2016,37.27
3/2/2016,37.667999
3/3/2016,39.147999
3/4/2016,40.208
3/7/2016,41.057999
3/8/2016,40.52
3/9/2016,41.743999
3/10/2016,41.035999
3/11/2016,41.5
3/14/2016,43.029999
3/15/2016,43.667999
3/16/2016,44.386002
3/17/2016,45.276001
3/18/2016,46.548
3/21/2016,47.664001
3/22/2016,46.848
3/23/2016,44.515999
3/24/2016,45.549999
3/28/2016,46.051998
3/29/2016,46.026001
3/30/2016,45.377998
3/31/2016,45.953999
4/1/2016,47.518002
4/4/2016,49.397999
4/5/2016,51.094002
4/6/2016,53.084
4/7/2016,51.439999
4/8/2016,50.014
4/11/2016,49.984001
4/12/2016,49.563999
4/13/2016,50.905998
4/14/2016,50.372002
4/15/2016,50.902
4/18/2016,50.776001
4/19/2016,49.473999
4/20/2016,49.993999
4/21/2016,49.658001
4/22/2016,50.75
4/25/2016,50.363998
4/26/2016,50.748001
4/27/2016,50.293999
4/28/2016,49.542
4/29/2016,48.152
5/2/2016,48.360001
5/3/2016,46.464001
5/4/2016,44.512001
5/5/2016,42.306
5/6/2016,42.986
5/9/2016,41.784
5/10/2016,41.737999
5/11/2016,41.792
5/12/2016,41.456001
5/13/2016,41.521999
5/16/2016,41.658001
5/17/2016,40.931999
5/18/2016,42.234001
5/19/2016,43.042
5/20/2016,44.056
5/23/2016,43.243999
5/24/2016,43.582001
5/25/2016,43.916
5/26/2016,45.023998
5/27/2016,44.608002
5/31/2016,44.646
6/1/2016,43.911999
6/2/2016,43.792
6/3/2016,43.798
6/6/2016,44.136002
6/7/2016,46.467999
6/8/2016,47.104
6/9/2016,45.872002
6/10/2016,43.757999
6/13/2016,43.574001
6/14/2016,42.992001
6/15/2016,43.540001
6/16/2016,43.585999
6/17/2016,43.094002
6/20/2016,43.939999
6/21/2016,43.922001
6/22/2016,39.332001
6/23/2016,39.279999
6/24/2016,38.630001
6/27/2016,39.709999
6/28/2016,40.358002
6/29/2016,42.037998
6/30/2016,42.456001
7/1/2016,43.299999
7/5/2016,42.796001
7/6/2016,42.888
7/7/2016,43.188
7/8/2016,43.355999
7/11/2016,44.956001
7/12/2016,44.93
7/13/2016,44.506001
7/14/2016,44.306
7/15/2016,44.080002
7/18/2016,45.25
7/19/2016,45.051998
7/20/2016,45.672001
7/21/2016,44.099998
7/22/2016,44.453999
7/25/2016,46.001999
7/26/2016,45.902
7/27/2016,45.698002
7/28/2016,46.122002
7/29/2016,46.958
8/1/2016,46.001999
8/2/2016,45.439999
8/3/2016,45.158001
8/4/2016,46.122002
8/5/2016,46.006001
8/8/2016,45.231998
8/9/2016,45.816002
8/10/2016,45.130001
8/11/2016,44.981998
8/12/2016,45.122002
8/15/2016,45.118
8/16/2016,44.722
8/17/2016,44.647999
8/18/2016,44.702
8/19/2016,45
8/22/2016,44.585999
8/23/2016,44.967999
8/24/2016,44.523998
8/25/2016,44.192001
8/26/2016,43.998001
8/29/2016,43.040001
8/30/2016,42.268002
8/31/2016,42.402
9/1/2016,40.153999
